status,hiring_company,get_time,get_url,site_name 
Not_Interested,ModWash,yesterday,https://www.ziprecruiter.com/ek/l/AAIdVvCiEKCFuhb1DCL9mYegbO5ZiP7FP8Q5atoZjmAOjxIZl-0vcbg-bj6j_0cM2SypcWumo3HxTf7VkKdIYJcsBxX8A7uCSvkD2cigRAc73OwYiN2W5GRLx8fV6-caD69GmcK-35wZudyV2ah2N4jVX7vX_FxzJ3RVAuTTmGCKgxjYQHktMIyUU2EMXpo,ziprecruiter
Not_Interested,MSI,yesterday,https://www.ziprecruiter.com/ek/l/AAItT_Y8ZShXBbhr31tsT1PZvFU-9RhSjAdWpQkk2cpdWmPJUwKAg2u6azdndQurPvUiLFIcLbt7wxcsX3v9PUxUh4qmr3DXEcSebgmh4SsuanOwtiDREzOqEVF-1JhXOMfbyEGXEvuTa14Y11w21XFpGWztCVQZoqgED8hVj-nO3IYlkX4Okge31n5uIXQ,ziprecruiter
